"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Settings","Company","","0","0","2","0","0"
"Registration","Free user","","0","0","15","0","0"
"Registration","Business user","","0","0","7","0","0"
"Registration","Trial user","","0","0","11","0","0"
"Authorization","Negative","","0","0","8","0","0"
"","","","0","0","1","0","0"
"Authorization","API","","0","0","3","0","0"
"Settings","Profile","","0","0","9","0","0"
"Templates","","","0","0","3","0","0"
"Forms","API","","0","0","2","0","0"
"Team","","","0","0","5","0","0"
"Technical Test","","","0","0","1","0","0"
"Folders","","","0","0","2","0","0"
"Folders","Free user","","0","0","3","0","0"
"Forms","","","0","0","1","0","0"
