"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Authorization","Negative","","0","8","0","0","0"
"Registration","Free user","","15","0","0","0","0"
"Settings","Profile","","8","0","3","0","0"
"Registration","Business user","","2","0","5","0","0"
"Team","","","0","0","5","0","0"
"Registration","Trial user","","4","0","7","0","0"
"Templates","","","0","0","3","0","0"
"Authorization","API","","0","3","0","0","0"
"Folders","Free user","","0","0","3","0","0"
"Settings","Company","","0","0","2","0","0"
"","","","0","2","1","1","0"
"Forms","","","0","0","1","0","0"
"Forms","API","","0","0","3","0","0"
"Technical Test","","","0","0","1","0","0"
