"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Templates","","","0","0","1","0","0"
"Settings","Profile","","0","0","9","0","0"
"Negative Registration","","","0","0","7","0","0"
"Negative registration","","","0","0","2","0","0"
"Registration","","","0","0","15","0","0"
"Team","","","0","0","2","0","0"
"","","","0","0","1","0","0"
"Settings","Company","","0","0","2","0","0"
"Folder","","","0","0","1","0","0"
"Authorization","","","0","0","2","0","0"
"Forms","","","0","0","1","0","0"
"Folders","","","0","0","1","0","0"
