"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","1","0","0"
"Folders","","","0","0","2","0","0"
"Templates","","","0","0","2","0","0"
"Settings","Profile","","0","0","9","0","0"
"Registration","Free user","","0","0","15","0","0"
"Registration","Business user","","0","0","7","0","0"
"Registration","Trial user","","0","0","11","0","0"
"Authorization","","","0","0","2","0","0"
"Folder","","","0","0","1","0","0"
"Team","","","0","0","2","0","0"
"Settings","Company","","0","0","2","0","0"
"Forms","","","0","0","1","0","0"
